Reference Image,Closest Hash Distance,Confidence
C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\New Website\Photos\Game King\795 Game King\795-game-king-gallery-01.jpg,14,No Match
C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\New Website\Photos\Game King\795 Game King\795-game-king-gallery-03.jpg,14,No Match
C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\New Website\Photos\Game King\795 Game King\795-game-king-gallery-04.jpg,16,No Match
C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\New Website\Photos\Game King\795 Game King\795-game-king-gallery-06.jpg,14,No Match
C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\New Website\Photos\Game King\795 Game King\795-game-king-hero.jpg,16,No Match
C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\New Website\Photos\Game King\886 Game King\886-game-king-gallery-01.jpg,16,No Match
C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\New Website\Photos\Game King\886 Game King\886-game-king-gallery-02.jpg,14,No Match
C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\New Website\Photos\Game King\886 Game King\886-game-king-gallery-04.jpg,16,No Match
C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\New Website\Photos\Game King\886 Game King\886-game-king-gallery-05.jpg,14,No Match
C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\New Website\Photos\Game King\886 Game King\886-game-king-gallery-06.jpg,14,No Match
C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\New Website\Photos\Game King\886 Game King\886-game-king-gallery-07.jpg,18,No Match
C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\New Website\Photos\Game King\886 Game King\886-game-king-gallery-08.jpg,16,No Match
C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\New Website\Photos\Game King\886 Game King\886-game-king-hero.jpg,14,No Match
C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\New Website\Photos\Game King\915 Game King\915-game-king-card.jpg,16,No Match
C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\New Website\Photos\Game King\915 Game King\915-game-king-gallery-04.jpg,12,No Match
C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\New Website\Photos\Game King\915 Game King\915-game-king-gallery-08.jpg,16,No Match
C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\New Website\Photos\Game King\915 Game King\915-game-king-hero.jpg,12,No Match
C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\New Website\Photos\Game King\986 Game King\986-game-king-card.jpg,18,No Match
C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\New Website\Photos\Game King\986 Game King\986-game-king-gallery-03.jpg,14,No Match
C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\New Website\Photos\Game King\986 Game King\986-game-king-gallery-04.jpg,12,No Match
C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\New Website\Photos\Game King\986 Game King\986-game-king-gallery-06.jpg,16,No Match
C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\New Website\Photos\Game King\986 Game King\986-game-king-gallery-07.jpg,12,No Match
C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\New Website\Photos\Game King\986 Game King\986-game-king-hero.jpg,16,No Match
C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\New Website\Photos\Enduro\1770 Enduro\1770-enduro-card.jpg,16,No Match
