Status,Confidence,Hash Distance,Reference Image,HD Match,Output File
Matched,High,6,C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\New Website\Photos\Walk Around\795 Walk Around\795-walk-around-gallery-05.jpg,C:\Users\JamesCody\Inverloch Marine\Data - Documents\A SALES RELATED\EXTREME BOATS\Extreme Boat Photos\IMG_9752-2.jpg,C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\Brand Photos\Extreme\Walk Around\795 Walk Around\795 Walk Around_006.jpg
Unmatched,No Match,12,C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\New Website\Photos\Walk Around\795 Walk Around\795-walk-around-gallery-06.jpg,,
Unmatched,No Match,14,C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\New Website\Photos\Walk Around\795 Walk Around\795-walk-around-gallery-07.jpg,,
Matched,Medium,10,C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\New Website\Photos\Walk Around\795 Walk Around\795-walk-around-gallery-08.jpg,C:\Users\JamesCody\Inverloch Marine\Data - Documents\A SALES RELATED\EXTREME BOATS\Extreme Boat Photos\IMG_9746.jpg,C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\Brand Photos\Extreme\Walk Around\795 Walk Around\795 Walk Around_007.jpg
Unmatched,No Match,16,C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\New Website\Photos\Walk Around\795 Walk Around\795-walk-around-gallery-09.jpg,,
Matched,Medium,10,C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\New Website\Photos\Walk Around\795 Walk Around\795-walk-around-gallery-10.jpg,C:\Users\JamesCody\Inverloch Marine\Data - Documents\A SALES RELATED\EXTREME BOATS\Extreme Boat Photos\IMG_1885.jpg,C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\Brand Photos\Extreme\Walk Around\795 Walk Around\795 Walk Around_008.jpg
Unmatched,No Match,18,C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\New Website\Photos\Walk Around\795 Walk Around\795-walk-around-hero.jpg,,
Matched,High,6,C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\New Website\Photos\Walk Around\915 Walk Around\915-walk-around-card.jpg,C:\Users\JamesCody\Inverloch Marine\Data - Documents\A SALES RELATED\EXTREME BOATS\Extreme Boat Photos\IMG_0139.jpg,C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\Brand Photos\Extreme\Walk Around\915 Walk Around\915 Walk Around_001.jpg
Matched,High,2,C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\New Website\Photos\Walk Around\915 Walk Around\915-walk-around-gallery-01.jpg,C:\Users\JamesCody\Inverloch Marine\Data - Documents\A SALES RELATED\EXTREME BOATS\Extreme Boat Photos\915 Walk Around\3_2\915 Walk Around_02.jpg,C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\Brand Photos\Extreme\Walk Around\915 Walk Around\915 Walk Around_002.jpg
Matched,High,6,C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\New Website\Photos\Walk Around\915 Walk Around\915-walk-around-gallery-02.jpg,C:\Users\JamesCody\Inverloch Marine\Data - Documents\A SALES RELATED\EXTREME BOATS\Extreme Boat Photos\IMG_2634.jpg,C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\Brand Photos\Extreme\Walk Around\915 Walk Around\915 Walk Around_003.jpg
